Sub Department Group,Item (Code),Product Long Name (EN),Sub Department,Budget Class,Collection,Class,Fabric (Code),Group of Level Price (shortname),Is High,IS_X,IS_Y,SubDepartment_Macro,Size_1
FJ,P7A,'1043 1077 1085 2891,N15MO,Budget Class 12,Collection 10,Class 17,202.0,MTI,0,False,False,N15MO,
FJ,P1F,'2160 1077 2970 2891 462 2563,N15MO,Budget Class 17,Collection 16,Class 11,201.0,ATI,0,False,False,N15MO,
FJ,02H,'3054 1077 3334 2008 3531 2470 3337 3805 1534 230,N15MO,Budget Class 4,Collection 14,Class 11,202.0,ATI,0,False,False,N15MO,
FJ,IEG,'1309 757 2970 2891 1062 2891 2535 354,X975C,Budget Class 16,Collection 12,Class 20,201.0,HETI,1,False,False,X975C,
FJ,SQU,'1309 496 2970 2891 1062 2891 2535 1991 3443,5SY0X,Budget Class 16,Collection 12,Class 29,201.0,HETI,1,False,False,,
FJ,1ZZ,'2038 2374 757 2970 2891 1837 354 1085 429,X975C,Budget Class 16,Collection 5,Class 20,201.0,HETI,1,False,False,X975C,
FJ,FDX,'2038 2374 496 2970 2891 1062 1563 1837 354 1108,5SY0X,Budget Class 16,Collection 5,Class 29,201.0,HETI,1,False,False,,
FJ,IBU,'2038 2374 757 2970 2891 1837 354 1085 429,X975C,Budget Class 16,Collection 5,Class 20,201.0,HETI,1,False,False,X975C,
FJ,SVT,'3150 3218 1873 1965 2970 2891 1067 1973 2135 1465,ZGJQZ,Budget Class 16,Collection 14,Class 44,304.0,HETI,1,False,False,ZGJQZ,
FJ,F4E,'152 1178 3445 757 2970 2891 2896 3801 763,X975C,Budget Class 16,Collection 12,Class 16,201.0,ITI,1,False,False,X975C,
FJ,LN8,'1591 1178 3438 757 2970 2891 2896 3801 1064,X975C,Budget Class 16,Collection 10,Class 20,201.0,HETI,1,False,False,X975C,
FJ,L7D,'1591 1178 3438 1077 2970 2891 2896 3801 1064,N15MO,Budget Class 16,Collection 10,Class 12,201.0,HETI,1,False,False,N15MO,
FJ,ASI,'1591 1178 3438 3589 2970 2891 2896 3801 1064,HGG8G,Budget Class 16,Collection 10,Class 14,201.0,HETI,1,False,False,HGG8G,
FJ,RCT,'2402 2705 3589 55 2928 2855 1588 3334 3004 3225 2599 3180,HGG8G,Budget Class 4,Collection 14,Class 13,202.0,ATI,0,False,False,HGG8G,
FJ,OR9,'1369 1077 2970 2891 2542 2869 2190 3809,N15MO,Budget Class 16,Collection 10,Class 17,201.0,HETI,1,False,False,N15MO,
FJ,ZZH,'792 202 668 2542,F9TFQ,Budget Class 16,Collection 10,Class 23,303.0,HETI,1,False,False,F9TFQ,
FJ,9MK,'556 2258 2970 2891 555 2542 462 2058,OPYY3,Budget Class 18,Collection 10,Class 34,201.0,HETI,1,False,False,OPYY3,
FJ,PE8,'1409,5SY0X,Budget Class 4,Collection 4,Class 29,202.0,ATI,0,False,False,,
FJ,SIB,'1179 1730 1125 496 2970 2891 1042 1563 354 1064,5SY0X,Budget Class 16,Collection 14,Class 7,201.0,HETI,1,False,False,,
FJ,FXH,'2038 2374 3589 2970 2891 1837 354 843,HGG8G,Budget Class 16,Collection 5,Class 18,201.0,HETI,1,False,False,HGG8G,
FJ,LLX,'556 1077 2970 2891 555 2542 462 1563,N15MO,Budget Class 16,Collection 10,Class 11,201.0,HETI,1,False,False,N15MO,
FJ,030,'424 2749 1077 2970 2891 2542 2731 3809,N15MO,Budget Class 16,Collection 19,Class 12,201.0,ITI,1,False,False,N15MO,
FJ,64V,'1969 496 3266 3166 3334 2970 2891 3334 3004 3225 2834,5SY0X,Budget Class 4,Collection 4,Class 7,202.0,ATI,0,False,False,,
FJ,SGH,'1877 1246 668 1216 1269 2542,ZGJQZ,Budget Class 16,Collection 10,Class 44,303.0,HETI,1,False,False,ZGJQZ,
FJ,LQI,'424 3587 3589 2970 2891 2896 3801 2542,HGG8G,Budget Class 16,Collection 19,Class 32,201.0,HETI,1,False,False,HGG8G,
FJ,ZOF,'424 3587 3589 2970 2891 2896 3801 2542,HGG8G,Budget Class 16,Collection 19,Class 32,201.0,HETI,1,False,False,HGG8G,
FJ,PQN,'2933 68 668 2542,CPPDR,Budget Class 16,Collection 10,Class 39,303.0,HETI,1,False,False,CPPDR,
